uid,number
xOS9xsAzdDWIOSqNelXJuBCg4MK2,2
pD5LkNOdPUNgmIAMuwOuD80Y7Nc2,5
V12iY7ZxoLRTNoNWZA19QNwnU7J2,2
ZwD1OU9K7rfjFCFqdUxKxpmqy643,3
38Arc1SFx9VSyd2ZuOQT4wbAOZD2,2
156qfnMfCuf4LTWYmBNC5ahKguv2,6
2QTKkjEI5PeaiuxTOuPt5k4jB3n2,2
TRFgtEbRuOONSMPelNHQBlKQhCv1,2
EZayhS8YmlULI2vQdXPDKOXL7q92,2
VbTkgG0XnZePC2Dd0dZFgAxrqKp1,2
z1KEK3yWm1QpJszq6OhGYdZiWtw2,2
TcgBsRedt7cViclhsJ9ZA6tj0z93,3
60lv3Cw4fjVPfT5zL9SMsLB5pEn2,2
yIMFfsHBY8XPGtwpBHxAET0Xrf12,2
Jok1Vca1VUOcVqZ9WPVNVNnLMSu1,2
Ubira87SaMY2rHNHEdjSH4KTyj72,2
18P9FiHCQoN2BkFOymF1dzggP0J3,2
lQ3jTmBZPcQ3h9gFT77VhEWL2e13,2
USyQU33zeYVWWjwADxdzHYTVNEs1,2
YBlurb5tg3dBfvMaEpbivXD6qoq1,2
Q3FNpUJAg0MctVKSqs4PJAkc2D02,1
0yxL25P9gCUaACVZ26aHKlF6m6U2,6
ZTAqy7ZAW8UydzZUxxsXr91He1U2,2
3ECZ3hiwYeN2sDqCxgERizGp9mh1,2
vSqanDByd0dAc3meY7WoihXaFeQ2,3
2xL2LRInz5TPyPwNmR5XcuXLtZH3,3
2e1sEApRGNWwyGcq3mxv1wQzBgi2,4
zZFof52LcrOzoe68aT6aerK33Bf2,2
G5cpEnRyZQa8nGbNFusmSp9eSd92,6
QcyNFANSpGQZ2WOIz4dloYzq0lF3,2
QBTUxMB6ddfNxZ6ATJ1G6YDP2l33,2
0c9nW4CcwGMBISSRnNtoXUla6433,2
IWUFeQHpkUZzkheCNQDoRDuC7q72,1
mjVaWM0WC9chSDOJsu0BSADuFaY2,2
aL8yz546b4eKNash33JL9f7BLNH3,3
JHUZsPjI1hQeJomiNFm9ydL9SsG2,2
X78ulgveJ8UXNOW8sF1j08fJnYJ2,1
KDfAGtadQAbt7IaoP1k42ddvmRc2,1
1hiRgYEHfgOq5BtrkmvnYagFCnK2,3
6n8WSjCvvdWeUgGmzxDaee6wjfz1,2
q95GxUzlLsQ5xUCx3wRCbP0sfZI2,3
Q67lI8fg6JeAvSn4GayowjsK9j03,5
pzLbyqJCtAg1goXGui9uyVu9zdF2,3
bOpdMZoLHsYLFutUcVW8DGHhDYI2,2
glsMLw13LreYjjCOWZYcZIBpnDN2,2
uBlmB1ZSpfgTsAx5bgl04ZUrtRo1,1
PVgr0KX30uNE9VwfNXHXii7OzFB3,3
p3pb32BEvsdHvIHlDKvUCnSZbsz1,1
88LgyIg1mwapPkuA58FHR2GczlE2,1
eonAY5AQS3cMn6ps6Q4d8DfEEw82,4
8GiIEo1AyOWAdnvn2HMQXnSkunB3,2
OwUIsArXM1S4auhauyFC6BWGAJJ3,2
pnNgCWQYora3VwyVuhlboTLTVH33,1
9wxcUslunKRnkLafdehyRiSaVmv2,3
1Zk9bhgs2Sh7tt7FTdpDs2G7CKS2,2
1TCwKFfjPNRe0Hy3xgnNzloBUVJ3,3
y5XAE78I56br9LhJbYwSCPQQsXP2,2
46ncAqlboeOw2e3HlXR2pKEoytv1,2
ogpXMFCAAqenpTNNraoI18I06a23,1
qpHGjpZxIbQTAgQGobVBeMjoP1I2,4
SNxtHLslKQhJ1qFuwOxXpKcFJVV2,1
V6fPNTrsnkMBLLxNMbcl9OatJtw2,2
FEnAM1ugeBbx8z74NU7HXNRwHSj1,2
